<CLOSE>,<COL14>
155782.31,13990625
157604.95,13990626
152059.05,13990629
146795.80,13990630
142877.61,13990631
146912.77,13990701
150967.41,13990702
150275.39,13990705
140713.83,13990706
136483.74,13990707
142799.64,13990708
142906.85,13990709
146464.42,13990712
139963.33,13990713
138101.70,13990714
143433.18,13990715
143511.15,13990716
141971.16,13990719
145938.09,13990720
142487.74,13990721
142741.16,13990722
141863.95,13990723
138208.92,13990727
131113.28,13990728
125528.40,13990729
130928.10,13990730
124963.08,13990803
119621.87,13990805
115401.52,13990806
113091.54,13990807
119290.48,13990810
114865.45,13990811
114309.89,13990812
120411.35,13990814
113130.53,13990817
104485.16,13990818
107116.78,13990819
112282.56,13990820
117925.93,13990821
128199.01,13990824
127087.88,13990825
124787.64,13990826
126415.35,13990827
130752.65,13990828
131815.05,13990901
127887.11,13990902
129612.28,13990903
126805.22,13990904
126425.10,13990905
127146.36,13990908
130918.35,13990909
136327.79,13990910
136210.83,13990911
135859.95,13990912
138179.68,13990915
146133.03,13990916
145255.82,13990917
144017.98,13990918
143530.64,13990919
145645.69,13990922
144710.00,13990923
133980.00,13990925
138300.00,13990926
144530.00,13990929
143110.00,13990930
143860.00,13991001
144080.00,13991002
149320.00,13991003
144990.00,13991006
144570.00,13991007
144220.00,13991008
144170.00,13991009
141920.00,13991010
137080.00,13991013
139750.00,13991014
141040.00,13991015
138990.00,13991016
135840.00,13991017
133140.00,13991020
136560.00,13991021
136530.00,13991022
132520.00,13991023
130270.00,13991024
122440.00,13991027
120200.00,13991029
124790.00,13991030
129470.00,13991101
131120.00,13991104
129340.00,13991105
127830.00,13991106
124560.00,13991107
121960.00,13991108
128570.00,13991111
127280.00,13991112
124670.00,13991113
122380.00,13991114
121280.00,13991115
115060.00,13991118
126350.00,13991119
123020.00,13991120
122990.00,13991121
128520.00,13991125
126210.00,13991126
125030.00,13991127
124320.00,13991128
123190.00,13991129
122500.00,13991202
121620.00,13991203
117920.00,13991204
118560.00,13991205
118270.00,13991206
117180.00,13991209
113650.00,13991210
114470.00,13991211
116560.00,13991212
118220.00,13991213
118000.00,13991216
118330.00,13991217
119760.00,13991218
122920.00,13991219
121050.00,13991220
123270.00,13991223
126060.00,13991224
124220.00,13991225
129720.00,13991226
131350.00,13991227
132330.00,14000107
131370.00,14000108
131350.00,14000110
130060.00,14000111
128910.00,14000114
124510.00,14000115
125680.00,14000116
125830.00,14000117
125830.00,14000118
124940.00,14000121
124070.00,14000122
124450.00,14000123
127610.00,14000124
125630.00,14000125
124610.00,14000128
123240.00,14000129
122980.00,14000130
124020.00,14000131
122230.00,14000201
121020.00,14000204
120010.00,14000205
120140.00,14000206
121850.00,14000207
122890.00,14000208
122900.00,14000211
124890.00,14000212
121260.00,14000213
121240.00,14000215
121590.00,14000218
120620.00,14000219
121880.00,14000220
123670.00,14000221
124080.00,14000222
125240.00,14000225
124320.00,14000226
123400.00,14000227
123760.00,14000228
122940.00,14000229
121760.00,14000301
120050.00,14000302
116920.00,14000303
116300.00,14000304
116620.00,14000305
121410.00,14000308
123500.00,14000309
120800.00,14000310
120260.00,14000311
121420.00,14000312
122390.00,14000317
123540.00,14000318
122540.00,14000319
122070.00,14000322
122380.00,14000323
122180.00,14000324
121670.00,14000325
120670.00,14000326
122040.00,14000329
121520.00,14000330
121460.00,14000331
123540.00,14000401
125700.00,14000402
128210.00,14000405
129040.00,14000406
129520.00,14000407
130620.00,14000408
131880.00,14000409
