,Date,Agas,Almas,Aminyekom,Asam,Asas,Atimes,Atlas,Bazr,Firouze,Ofogmellat
49,13981101,18366.17,43328.59,10018.8,47923.24,43103.93,56516.08,60827.06,31089.76,48272.39,38009.35
50,13981102,18440.47,43480.08,10025.8,47387.06,42935.5,56454.42,60822.04,31089.76,49652.56,37808.53
51,13981105,18890.35,44468.22,10033.81,47979.73,43178.24,58599.69,61800.23,32142.47,50791.83,38599.18
52,13981106,19094.95,44535.66,10037.82,47826.11,43997.64,58614.61,62466.4,31706.23,53181.69,38958.13
53,13981107,19024.4,44391.99,10045.82,47548.6,44196.79,58837.39,63398.43,31891.08,55648.34,38906.71
54,13981108,19501.39,44998.94,10053.83,48012.44,45296.58,60360.07,64106.74,32603.67,58428.84,39348.11
55,13981112,20196.28,44992.1,10074.85,48021.36,45622.56,61223.35,64440.83,33194.27,60764.95,39806.98
56,13981113,19744.9,44828.88,10082.85,48183.89,45824.68,61300.93,64036.51,32312.54,60811.98,39470.35
57,13981114,20092.35,45582.44,10085.86,48528.79,46731.27,62996.66,64731.77,33625.89,60192.92,39772.06
58,13981115,20379.54,45691.91,10090.86,49162.1,47119.66,63235.35,65426.03,33698.9,59028.7,40277.49
59,13981116,20542.97,46243.16,10096.87,49956.96,47601.19,63658.04,65760.12,34304.28,57063.06,40327.94
60,13981119,20844.23,46955.67,10112.88,50139.32,47692.35,64255.78,67524.87,34949.41,55370.96,41593.94
61,13981120,21027.24,47425.8,10117.89,50515.93,48491.93,63579.47,67937.21,34687.85,55372.88,41607.53
62,13981121,20512.35,46282.25,10127.89,50099.67,48150.1,61910.59,66910.87,34411.5,53586.72,41038.07
63,13981123,20673.52,47664.28,10132.9,49776.58,49194.41,63535.71,67626.2,34161.95,54926.58,41202.02
64,13981126,20877.87,48272.22,10151.92,50252.3,50032.63,63863.92,67391.43,34534.42,54623.29,41730.73
65,13981127,21406.57,49436.28,10155.92,50540.71,50775.73,63899.72,68504.06,35034.44,55210.68,41207.84
66,13981128,22224.47,49436.28,10163.93,51197.8,52441.27,64911.19,70227.67,35765.52,55905.56,41673.49
67,13981129,22413.76,48997.44,10167.93,50690.36,53243.82,64648.63,70424.31,35527.06,56085.04,41609.47
