<CLOSE>,<COL14>
171962.94,13990625
172553.46,13990626
170957.27,13990629
165616.84,13990630
160114.90,13990631
164276.28,13990701
166817.69,13990702
168339.57,13990705
162701.89,13990706
155716.73,13990707
159314.33,13990708
162269.90,13990709
167074.31,13990712
163239.90,13990713
161594.17,13990714
159965.04,13990715
165535.09,13990716
164840.67,13990719
168096.98,13990720
164409.11,13990721
163489.11,13990722
163530.30,13990723
158400.64,13990727
150834.63,13990728
146861.35,13990729
154275.33,13990730
148697.44,13990803
145540.19,13990805
141802.31,13990806
141954.33,13990807
147410.61,13990810
145437.21,13990811
146741.69,13990812
150681.63,13990814
143071.48,13990817
134558.99,13990818
135936.05,13990819
141261.88,13990820
143950.29,13990821
151452.55,13990824
150886.62,13990825
148779.83,13990826
152812.94,13990827
157456.12,13990828
159896.38,13990901
158784.14,13990902
160476.05,13990903
160455.45,13990904
162165.01,13990905
160821.29,13990908
163954.02,13990909
169412.25,13990910
168754.12,13990911
169487.77,13990912
170401.89,13990915
172490.05,13990916
171975.12,13990917
172206.59,13990918
174141.74,13990919
176929.22,13990922
173106.00,13990923
161064.00,13990925
168961.00,13990926
175269.00,13990929
175525.00,13990930
176181.00,13991001
176244.00,13991002
176897.00,13991003
174500.00,13991006
174147.00,13991007
175510.00,13991008
173719.00,13991009
174744.00,13991010
169737.00,13991013
172537.00,13991014
173965.00,13991015
172131.00,13991016
166286.00,13991017
164241.00,13991020
171680.00,13991021
168413.00,13991022
163081.00,13991023
162362.00,13991024
151621.00,13991027
142572.00,13991029
152925.00,13991030
162813.00,13991101
170274.00,13991104
166700.00,13991105
166074.00,13991106
163455.00,13991107
161744.00,13991108
172979.00,13991111
172345.00,13991112
164528.00,13991113
162816.00,13991114
161420.00,13991115
155803.00,13991118
166308.00,13991119
164067.00,13991120
165115.00,13991121
172262.00,13991125
170849.00,13991126
168009.00,13991127
163701.00,13991128
161661.00,13991129
159457.00,13991202
153906.00,13991203
150424.00,13991204
155048.00,13991205
156143.00,13991206
153163.00,13991209
150365.00,13991210
154011.00,13991211
156595.00,13991212
153817.00,13991213
151921.00,13991216
154058.00,13991217
158035.00,13991218
159424.00,13991219
158241.00,13991220
161125.00,13991223
164207.00,13991224
165913.00,13991225
172290.00,13991226
174115.00,13991227
175768.00,14000107
177419.00,14000108
177552.00,14000110
177274.00,14000111
172533.00,14000114
165966.00,14000115
166425.00,14000116
165358.00,14000117
162466.00,14000118
159567.00,14000121
160539.00,14000122
162558.00,14000123
169036.00,14000124
169498.00,14000125
167126.00,14000128
163397.00,14000129
165502.00,14000130
167679.00,14000131
165762.00,14000201
165161.00,14000204
163166.00,14000205
163944.00,14000206
166496.00,14000207
168127.00,14000208
165550.00,14000211
163449.00,14000212
161766.00,14000213
162338.00,14000215
160609.00,14000218
158065.00,14000219
158617.00,14000220
161630.00,14000221
161847.00,14000222
163567.00,14000225
162903.00,14000226
162017.00,14000227
162265.00,14000228
156736.00,14000229
152742.00,14000301
147446.00,14000302
144437.00,14000303
145141.00,14000304
145590.00,14000305
150752.00,14000308
154159.00,14000309
155815.00,14000310
154644.00,14000311
156512.00,14000312
157381.00,14000317
157895.00,14000318
155166.00,14000319
154703.00,14000322
152843.00,14000323
154800.00,14000324
153309.00,14000325
152619.00,14000326
154602.00,14000329
155358.00,14000330
157044.00,14000331
157236.00,14000401
157940.00,14000402
160160.00,14000405
160652.00,14000406
159416.00,14000407
161357.00,14000408
162988.00,14000409
