<CLOSE>,<COL14>
253156.24,13990625
253728.11,13990626
247442.47,13990629
240316.42,13990630
229266.82,13990631
236111.41,13990701
239543.65,13990702
235767.29,13990705
228579.58,13990706
219950.74,13990707
222714.63,13990708
223520.23,13990709
231369.33,13990712
223396.90,13990713
220666.83,13990714
222375.24,13990715
222840.90,13990716
218190.17,13990719
224079.72,13990720
218979.05,13990721
218826.77,13990722
216551.51,13990723
210932.13,13990727
192567.95,13990728
186771.74,13990729
195419.89,13990730
188215.88,13990803
179908.63,13990805
179368.30,13990806
179017.58,13990807
185334.47,13990810
179118.77,13990811
177472.25,13990812
185384.58,13990814
171208.41,13990817
164869.90,13990818
169246.54,13990819
172486.52,13990820
181007.94,13990821
189194.36,13990824
187086.11,13990825
184284.28,13990826
187976.17,13990827
197777.67,13990828
199040.07,13990901
196509.38,13990902
203217.27,13990903
200742.58,13990904
203223.17,13990905
203203.52,13990908
212214.18,13990909
219518.39,13990910
220256.18,13990911
217807.03,13990912
219245.28,13990915
223438.20,13990916
225544.49,13990917
223337.02,13990918
225268.43,13990919
229269.79,13990922
226242.00,13990923
213066.00,13990925
214560.00,13990926
222368.00,13990929
220442.00,13990930
220522.00,13991001
225723.00,13991002
228899.00,13991003
227190.00,13991006
225957.00,13991007
226497.00,13991008
224267.00,13991009
223417.00,13991010
214361.00,13991013
215510.00,13991014
214586.00,13991015
212115.00,13991016
205753.00,13991017
202645.00,13991020
207058.00,13991021
203903.00,13991022
198735.00,13991023
191444.00,13991024
177551.00,13991027
165197.00,13991029
178439.00,13991030
191474.00,13991101
198226.00,13991104
191632.00,13991105
188711.00,13991106
179994.00,13991107
179471.00,13991108
189650.00,13991111
190093.00,13991112
184475.00,13991113
178775.00,13991114
175516.00,13991115
166147.00,13991118
178077.00,13991119
174679.00,13991120
177052.00,13991121
185211.00,13991125
182745.00,13991126
185859.00,13991127
183951.00,13991128
182533.00,13991129
182662.00,13991202
179624.00,13991203
178598.00,13991204
180814.00,13991205
179585.00,13991206
177553.00,13991209
173810.00,13991210
177348.00,13991211
178693.00,13991212
176537.00,13991213
175019.00,13991216
175466.00,13991217
178186.00,13991218
179235.00,13991219
177543.00,13991220
180056.00,13991223
181514.00,13991224
182935.00,13991225
189549.00,13991226
190455.00,13991227
194555.00,14000107
191773.00,14000108
191272.00,14000110
