,0,1,2,3,4,5,6,7,8,9
0,35646057.95038772,95332020.64646839,128410817.95901108,62995.4956260843,116514353.71114542,238988229.66645107,246278618.94443607,286193143.5205301,136581565.52085903,182739953.50035736
1,95332020.64646839,473279537.0795802,689659006.9577584,1777776.2237438017,590926058.2475315,1117026900.8765357,1418630783.9871552,1326702745.941499,743333054.60149,1117019917.452741
2,128410817.95901108,689659006.9577584,1044848495.1597757,3130627.270903551,894273056.5435629,1620179060.4597692,2144199230.1233618,1933113460.8659196,1124497335.0928042,1684944471.8624384
3,62995.4956260843,1777776.2237438017,3130627.270903551,29020.762660016215,2752613.8076222334,3693225.911854885,7469425.483260898,4520731.514892046,3583652.744649176,5995031.86493969
4,116514353.71114542,590926058.2475315,894273056.5435629,2752613.8076222334,808187150.7765846,1397988215.9973447,1851067336.4172423,1686141384.2211044,977820675.817474,1448360219.0334117
5,238988229.66645107,1117026900.8765357,1620179060.4597692,3693225.911854885,1397988215.9973447,2689274876.1277714,3291691183.829606,3181199572.6718965,1736746552.059027,2569059533.407084
6,246278618.94443607,1418630783.9871552,2144199230.1233618,7469425.483260898,1851067336.4172423,3291691183.829606,4530664980.467863,3930148236.1924872,2332065244.0849686,3572243835.7693
7,286193143.5205301,1326702745.941499,1933113460.8659196,4520731.514892046,1686141384.2211044,3181199572.6718965,3930148236.1924872,3796680867.5984006,2078210054.9606216,3067294576.6222496
8,136581565.52085903,743333054.60149,1124497335.0928042,3583652.744649176,977820675.817474,1736746552.059027,2332065244.0849686,2078210054.9606216,1240567409.851697,1847238730.84757
9,182739953.50035736,1117019917.452741,1684944471.8624384,5995031.86493969,1448360219.0334117,2569059533.407084,3572243835.7693,3067294576.6222496,1847238730.84757,2864091346.260045
