,0
0,23404.19446772753
1,-1162.6895193653868
2,931010.6099848901
3,51706.65187891161
4,-856.4766520847987
5,-3739.62656435549
6,19837.276814476114
7,-595.6154242950305
8,-10625.036289697699
9,-21092.25859018192
